userId,movieId,rating
0,1456387,3.5
0,1023498,4.0
0,1235784,2.5
0,1124932,5.0
0,1345872,1.5
0,1746359,3.0
0,1941023,4.5
0,1000087,2.0
0,1503729,0.5
0,1634578,3.0
1,1456387,3.5
1,1023498,4.0
1,1235784,2.5
1,1124932,5.0
1,1345872,1.5
1,1746359,3.0
1,1941023,4.5
1,1000087,2.0
1,1503729,0.5
1,1634578,3.0
2,1456387,3.5
2,1023498,4.0
2,1235784,2.5
2,1124932,5.0
2,1345872,1.5
2,1746359,3.0
2,1941023,4.5
2,1000087,2.0
2,1503729,0.5
2,1634578,3.0
3,1456387,3.5
3,1023498,4.0
3,1235784,2.5
3,1124932,5.0
3,1345872,1.5
3,1746359,3.0
3,1941023,4.5
3,1000087,2.0
3,1503729,0.5
3,1634578,3.0
4,1456387,3.5
4,1023498,4.0
4,1235784,2.5
4,1124932,5.0
4,1345872,1.5
4,1746359,3.0
4,1941023,4.5
4,1000087,2.0
4,1503729,0.5
4,1634578,3.0
hamell,1786213,1
hamell,1000001,5
hamell,1000005,5
hamell,1000006,5
hamell,1000008,4
hamell,1000019,2
hamell,1000004,5
hamell,1000009,4
hamell,1000043,5
hamell,1000040,5
hamell,1000001,3
hamell,1000027,5
hamell,1000009,1
hamell,1000038,5
hamell,1000062,5
hamell,1000021,1
hamell,1000004,4
hamell,1000075,3
hamell,1000181,4
